Employer,Union,Union Local,Case Number,BU,NAICS,Industry,"City, State",# Idled,Start Date,End Date,Duration
Kapstone Paper and Packing,AWPPW Local 153,,2014N0502053,,,Manufacturing,"Longview, WA",765.0,2015-08-27,2015-09-03,
Kapstone Paper and Packing,Awppw Local 817,,2014N0502054,,,Manufacturing,"Seattle, WA",58.0,2015-08-27,2015-09-03,
FairPoint Communications - Yelm,IBEW Local SCT-9,,2014N0502678,,,Utilities,"Various - ME, NH, VT, NH",1700.0,2014-10-17,2015-02-24,
Unity Disposal and Recycling LLC,Liuna Local 657,,2014N0502748,,,Support Serv. & Waste Management,"Laurel, MD",14.0,2014-12-26,2015-01-08,
Mills-Peninsula Health Services,CNA/NNU Local N/A,,2014N0502776,,,Health Care and Social Assistance,"Burligame, CA",670.0,2015-04-30,2015-05-05,
FairPoint Communications - Yelm,CWA Local 1400,,2014N0503542,,,Utilities,"Nashua, NH",217.0,2014-10-17,2015-02-24,
John Muir Health,IUOE Local 39,,2014N0504351,,,Health Care and Social Assistance,"Walnut Creek, CA",19.0,2015-05-18,2015-10-13,
Marin General Hospital,CNA Local ,,2014N0504495,,,Construction,"Greenbrae, CA",600.0,2015-11-05,2015-11-09,
"Sears Hometown and Outlet Stores, Inc.",IBT Local 243,,2014N0504507,,,Retail Trade,"Livonia, MI",15.0,2016-07-01,2017-07-03,
Doubletree Hotel,IUOE Local 39,,2014N0504568,,,Accommodation and Food Services,"San Jose, CA",7.0,2014-12-02,2015-01-06,
T.W. Perry,IBT Local 639,,2014N0900050,,,Construction,"Springfield, VA",24.0,2015-01-06,2015-02-03,
T.W. Perry,IBT Local 639,,2014N0900050,,,Construction,"Springfield, VA",24.0,2015-05-08,2015-05-31,
Construction Contractors Council,United Brotherhood of Carpenters & Joiners of Amer Local Regional Council,,2014N0900402,,,Construction,"Philadelphia, PA",8328.0,2014-05-01,2015-07-01,
NBC Universal Media LLC.,IBEW Local 98,,2014N0901092,,,"Professional, Scientific &Tech Serv","Bala Cynwyd, PA",53.0,2015-09-24,2015-10-16,
"Cytec Engineered Materials, Inc.",IBT Local 745,,2014N1001710,,,Not Provided,"Greenville, TX",181.0,2014-08-25,2015-02-25,
"Clinical and Support Options, Inc.",SEIU Local 509,,2014N1002225,,,Health Care and Social Assistance,"Greenfield, MA",105.0,2015-07-22,2015-07-24,
Sherwin Alumina Company LLC,USW Local 235A,,2014N1002352,,,Manufacturing,"Gregory, TX",381.0,2014-10-11,2016-10-28,
Specialty Minerals Inc.,USW Local 11-63-01,,2014N1200910,,,Manufacturing,"Cloquet, MN",5.0,2015-01-01,2015-05-08,
Honeywell International Inc.,USW District 7/ Subdistrict 2 Local 7-669,,2014N1202420,,,Manufacturing,"Metropolis, IL",135.0,2014-08-02,2015-03-21,
Allsource Global Management,IAMAW Local 219,,2014N1203107,,,Transportation and Warehousing,"Lexington, KY",190.0,2014-10-01,2015-03-02,
Consulate of North Fort Myers,SEIU Florida Healthcare United Worker East Local 1199,,2014N1203244,,,Health Care and Social Assistance,"North Fort Myers, FL",60.0,2015-04-13,2015-04-14,
Consulate of North Fort Myers,SEIU Florida Healthcare United Worker East Local 1199,,2014N1203244,,,Health Care and Social Assistance,"North Fort Myers, FL",110.0,2016-04-14,2016-04-14,
Sparks Steak House,UFCW Local 342,,201509650018,,,Accommodation and Food Services,", ",40.0,2014-12-14,2015-09-09,
Kaiser Permanente-Hawaii,Unite Here Local 5,,201510070022,,,Health Care and Social Assistance,"Honolulu, HI",1900.0,2015-02-02,2015-02-08,
East St Louis School District 189,IFT Region 2,,201510220044,,,Educational Services,"EAST ST LOUIS, IL",211.0,2015-10-01,2015-11-02,
Tommy Car Aoto Group,IAM District 15 Lodge ,,201510500011,,,Retail Trade,", ",10.0,2014-11-05,2015-10-01,
Prospect Heights School District 23,IEA Region 64,,201511060057,,,Educational Services,"Prospect Heights, IL",169.0,2015-09-16,2015-09-28,
McHenry Community High Schools Dist. 156,IEA Elgin Association ,,201511060067,,,Educational Services,"McHenry, IL",155.0,2015-10-01,2015-10-13,
Rock Valley College,"ROCK VALLEY COLLEGE FACULTY ASSOCIATION, IFT-AFT Local 6211",,201511180053,,,Educational Services,"ROCKFORD, IL",160.0,2015-09-16,2015-09-22,
Verizon Mid-Atlantic (7),CWA District 2-13 Local 2111,,201590020007,,,Utilities,", ",24093.0,2016-04-13,2016-06-01,
Allegheny Technologies (ATI) 2015,USW  Local Multiple,,201590100006,,,Manufacturing,"Various, ",2200.0,2015-08-15,2016-03-01,
Ready Mix Contractors,"Belleville, Illinois & IBT 50 Local ",,201590200002,,,Accommodation and Food Services,", ",140.0,2015-07-16,2015-07-26,
MFY LEGAL SERVICES INC,SEFMBSU/UAW/NOLSW  Local 670,,2015N0300380,,,Personal Serv & Private Organizations,"New York, NY",60.0,2015-02-02,2015-02-25,
Chicago Metal Contractors Association,PAT District DC 14,,2015N0300664,,,Construction,"Chicago, IL",130.0,2015-02-16,2015-03-04,
Veolia Transportation Services Inc. (Possibly doing business as Transdev),ATU Local 1433,,2015N0301500,,,Transportation and Warehousing,"Phoenix, AZ",590.0,2016-01-08,2016-01-16,
Coca-Cola Refreshments,IBT Local 727,,2015N0301959,,,Manufacturing,"Niles, IL",319.0,2015-12-03,2015-12-30,
US FOODSERVICE,IBT Local 104,,2015N0302120,,,Accommodation and Food Services,"PHOENIX, AZ",184.0,2016-02-04,2016-02-08,
Sun Tran,IBT Local 104,,2015N0302535,,,Transportation and Warehousing,"TUCSON, AZ",530.0,2015-08-06,2015-09-17,
Cement League The,CJA Local NYC DC & Vic ,,2015N0302582,,,Construction,"New York, NY",500.0,2015-07-01,2015-07-05,
Superior Beverage Company,IBT Local 673,,2015N0302670,,,Transportation and Warehousing,"MONTGOMERY, IL",27.0,2015-08-06,2015-08-25,
Verizon Companies,CWA Local Multi Dist 1 1104 1105 1108 1113 1302 1395 1400 ,,2015N0303122,,,Information,"New York, NY",14537.0,2016-04-13,2016-06-01,
Omni Corporation, IUOE Local 953,,2015N0303151,,,Manufacturing,"Artesia, NM",72.0,2015-06-25,2015-09-29,
Ingersoll Rand (F/K/A Centrifugal Compression Systems Cameron Int'l. Corporation),IAMAW Local 330 DL 65,,2015N0303182,,,Manufacturing,"Cheektowaga, NC",240.0,2015-08-10,2015-09-21,
Clifford Jacobs Forging Company,IAMAW District 8 Local 1000,,2015N0303744,,,Manufacturing,"Champaign, IL",19.0,2015-09-30,2016-02-21,
Clifford-Jacobs Forging,IBB Local 1626,,2015N0303780,,,Manufacturing,"Champaign, IL",60.0,2015-09-30,2016-02-21,
Fresenius Medical Care North America @ Brooklyn Kidney Center,SEIU Local 1199,,2015N0303804,,,Health Care and Social Assistance,"Brooklyn, NY",156.0,2017-06-12,2017-06-12,
Ridley Inc. d/b/a Ridley Feed Ingredients,IBT Local 722,,2015N0303951,,,Manufacturing,"Mendota, IL",46.0,2015-11-02,2015-11-03,
Roscoe Rock and Sand Inc.,IUOE  AFL-CIO Local 150,,2015N0304077,,,Construction,"Roscoe, IL",9.0,2015-10-05,2017-04-25,
Skyway Concession Company,IUOE Local 150,,2015N0304365,,,Transportation and Warehousing,"Chicago, IL",11.0,2016-08-30,2016-09-08,
Tile Contractors Association of Hawaii,International Union of Bricklayers and Allied Craftworkers Local 1,,2015N0400426,,,Construction,"Honolulu, HI",300.0,2015-09-21,2015-09-23,
Totten Tubes Inc,ILWU  Local 26,,2015N0500376,,,Manufacturing,"Azusa, CA",33.0,2015-09-13,2015-09-21,
United Foundry (fka Mid-City),"Glass, Molders, Pottery, Plastics & Allied Workers Local 125B",,2015N0500425,,,Manufacturing,"Milwaukee, WI",41.0,2015-01-17,2015-01-25,
Tesoro Refinery,USW Local 5,,2015N0500661,,,Manufacturing,"Martinez, CA",425.0,2015-02-01,2015-03-25,
Tesoro Corp(Golden Eagle Chemical Plant),USW Local 5,,2015N0500672,,,Manufacturing,"Martinez , CA",27.0,2015-02-01,2015-03-25,
Tesoro Corp (LA Refinery-Carson & Watson Congenera,USW Local 219,,2015N0500689,,,Manufacturing,"Carson, CA",534.0,2015-02-01,2015-03-22,
"BP Products, Toledo Refinery",USW Local ,,2015N0500751,,,Manufacturing,"Oregon, OH",320.0,2015-02-08,2015-05-27,
Tesoro Corp(Golden Eagle Chemical Plant),USW Local 5,,2015N0500767,,,Manufacturing,"Martinez, CA",425.0,2015-02-01,2015-03-25,
TESORO CORP TESORO REFINING & MARKETING CO,USW Local 12-00591-2,,2015N0500772,,,Manufacturing,"Anacortes, WA",167.0,2015-02-01,2015-03-24,
Pacific Steel Casting Company,"Glass, Molders, Pottery, Plastics& Allied Workers Local 164B",,2015N0501372,,,Manufacturing,"Berkeley, CA",350.0,2015-03-23,2015-03-29,
MilwaukeeTransit System (Milwaukee County Transit System )    ,ATU Local 998,,2015N0501543,,,Transportation and Warehousing,"Milwaukee, WI",903.0,2015-07-01,2015-07-03,
Interactive Media Agreements( Sag-AFTRA),SAG-AFTRA  Local N/A,,2015N0501936,,,"Arts, Entertainment and Recreation","Los Angeles, ",900.0,2016-10-21,2017-09-25,
International Paper,IBT Local 284,,2015N0502242,,,Wholesale Trade,"Delaware, OH",113.0,2016-05-08,2016-09-23,
Eden Medical Center,ESC Local 20,,2015N0502651,,,Health Care and Social Assistance,"Castro Valley , CA",50.0,2015-12-11,2015-12-12,
Providence San Francisco,NUHW Local N/A,,2015N0502857,,,Health Care and Social Assistance,"San Francisco, CA",45.0,2015-07-22,2015-07-22,
Providence San Francisco,NUHW Local N/A,,2015N0502857,,,Health Care and Social Assistance,"San Francisco, CA",45.0,2015-08-20,2015-08-22,
L-3 Communications Ocean Systems,UAW Local 179,,2015N0502940,,,Manufacturing,"Sylmar, CA",85.0,2015-09-01,2015-09-17,
Valerus Specialty Chemicals,USW Local 1-243,,2015N0503376,,,Manufacturing,"Independence, OH",35.0,2015-10-09,2015-10-10,
Nexteer Automotive,UAW Local 455,,2015N0503445,,,Manufacturing,"Saginaw, MI",3450.0,2015-12-08,2015-12-08,
U.S. Foodservice - Corona,IBT Local 848,,2015N0503453,,,Accommodation and Food Services,"Corona, CA",104.0,2016-05-03,2016-05-17,
Kohler Company,UAW Local 291,,2015N0503947,,,Manufacturing,"Kohler, WI",1910.0,2015-11-16,2015-12-17,
"Airgas USA, LLC",IBT Local 100,,2015N0504181,,,Transportation and Warehousing,"Cincinnati, OH",17.0,2016-03-10,2016-03-10,
"Airgas East, Inc.",IBT Local 25,,2015N1000016,,,Mining and Oil & Gas Extraction,"Hingham, MA",17.0,2015-02-02,2015-02-03,
LyondellBasell/Houston Refining,USW Local 227-1,,2015N1000325,,,Manufacturing,"Houston, TX",379.0,2015-02-01,2015-05-07,
"BP, S. Houston Green Power",USW Local 13-1-28,,2015N1000409,,,Manufacturing,"Texas City, TX",43.0,2015-02-01,2015-05-02,
Shell Deer Park Refining,USW Local 13-1,,2015N1000412,,,Manufacturing,"Deer Park, TX",630.0,2015-02-01,2015-03-19,
Marathon,USW Local 13-1,,2015N1000414,,,Manufacturing,"Texas City, TX",1063.0,2015-02-01,2015-06-23,
Motiva Enterprises LLC,USW Local 750,,2015N1000433,,,Manufacturing,"Convent, LA",236.0,2015-02-22,2015-03-18,
Shell Chemical,USW Local 750,,2015N1000434,,,Manufacturing,"Norco, LA",169.0,2015-02-22,2015-03-18,
Motiva Enterprises,USW Local 750,,2015N1000435,,,Manufacturing,"Norco, LA",230.0,2015-02-22,2015-03-18,
TCC Pennwest LLC,IAMAW Local 2439,,2015N1000531,,,Manufacturing,"Emlenton, PA",128.0,2015-03-02,2015-03-09,
CNS Pantex,Metal Trades Council Local ,,2015N1000571,,,Manufacturing,"Amarillo, TX",1250.0,2015-08-29,2015-09-25,
Faulk Renew Prager,IAMAW Local 37,,2015N1000609,,,Manufacturing,"St. Rose, LA",50.0,2015-03-03,2015-06-08,
Inner Perish Security Corporation,UGSOA Local 293,,2015N1000636,,,Manufacturing,"Dallas, TX",180.0,2015-05-26,2015-07-09,
GRAHAM PACKAGING COMPANY,IAMAW Local 1345 & 41,,2015N1000874,,,Manufacturing,"Maryland Heights, MO",30.0,2015-04-01,2015-05-18,
Mason Contractors Association and Independent Employers,BAC Local 1,,2015N1001265,,,Construction,"St. Louis, MO",800.0,2015-06-01,2015-07-05,
Fort Worth Symphony Orchestra ASSOC,AFM Local 72-147,,2015N1001680,,,"Arts, Entertainment and Recreation","Fort Worth, TX",75.0,2016-09-07,2016-12-07,
POLAR TANK TRAILER INC,USW Local 11-770,,2015N1002185,,,Transportation and Warehousing,"Springfield, MO",300.0,2016-02-05,2016-04-12,
Europ-Tec Glass & Polymer,USW Local 567T,,2015N1002354,,,Not Provided,"Clarksburg, WV",30.0,2016-07-11,2016-10-03,
West Rock,IAMAW Local 1426,,2015N1002504,,,Manufacturing,"Sioux City, IA",69.0,2016-03-03,2016-04-02,
Anthracite Industries Inc.,IBT Local 764,,2015N1200262,,,Manufacturing,"Sunbury, PA",29.0,2015-04-12,2015-04-30,
BP Products (5),USW Local 7-00001-1,,2015N1200411,,,Manufacturing,"Whiting, IN",1079.0,2015-02-08,2015-05-17,
Marathon Petroleum,USW Local 8-00719-**,,2015N1200416,,,Manufacturing,"Catlettsburg, KY",408.0,2015-02-01,2015-04-03,
Louisville Fire Brick Works,USW District 8 Local 857,,2015N1200619,,,Manufacturing,"Grahn, KY",7.0,2015-02-01,2016-07-15,
Century Aluminum Hawesville,USW District 8,,2015N1201363,,,Not Provided,"Hawesville, KY",570.0,2015-05-12,2015-06-11,
Marquis Terminal Inc.,IUOE Local 181,,2015N1201864,,,Construction,"Russell, KY",13.0,2015-06-01,2015-12-11,
Franco Nursing Home,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202310,,,Health Care and Social Assistance,"Miami, FL",60.0,2016-04-14,2016-04-14,
Plantation Bay,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202311,,,Health Care and Social Assistance,"St. Cloud, FL",75.0,2016-04-14,2016-04-14,
Oaktree Healthcare and Rehabilitation Center,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202312,,,Health Care and Social Assistance,"Daytona, FL",50.0,2016-04-14,2016-04-14,
Springhill Healthcare and Rehabilitation Center,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202313,,,Health Care and Social Assistance,"Brooksville, FL",60.0,2016-04-14,2016-04-14,
Renaissance Nursing Home,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202314,,,Health Care and Social Assistance,"West Palm Beach, FL",110.0,2016-04-14,2016-04-14,
Bay Breeze Nursing Home,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202315,,,Health Care and Social Assistance,"Venice, FL",80.0,2016-04-14,2016-04-14,
The Parks Healthcare and Rehabilitation Center,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202316,,,Health Care and Social Assistance,"Orlando, FL",75.0,2016-04-14,2016-04-14,
The Palms Healthcare and Rehabilitation Center,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202317,,,Health Care and Social Assistance,"Palm Bay, FL",50.0,2016-04-14,2016-04-14,
Hillcrest Nursing Home,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202318,,,Health Care and Social Assistance,"Hollywood, FL",120.0,2016-04-14,2016-04-14,
Rio Pinar Healthcare,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202319,,,Health Care and Social Assistance,"Orlando, FL",90.0,2016-04-14,2016-04-14,
Rosewood Healthcare and Rehabilitation Center,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202320,,,Health Care and Social Assistance,"Orlando, FL",70.0,2016-04-14,2016-04-14,
Lake Mary Healthcare and Rehabilitation Center,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202321,,,Health Care and Social Assistance,"Lake Mary, FL",80.0,2016-04-14,2016-04-14,
Grand Oaks Health and Rehabilitation Center,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202322,,,Health Care and Social Assistance,"Palm Coast, FL",120.0,2016-04-14,2016-04-14,
Consulate of West Altamonte,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202323,,,Health Care and Social Assistance,"Altamonte Springs, FL",100.0,2016-04-14,2016-04-14,
Vista Manor,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202324,,,Health Care and Social Assistance,"Titusville, FL",75.0,2016-04-14,2016-04-14,
Consulate of West Palm Beach,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202325,,,Health Care and Social Assistance,"West Palm Beach, FL",80.0,2016-04-14,2016-04-14,
Consulate Healthcare of Kissimmee,SEIU Florida Healthcare United Worker East Local 1199,,2015N1202326,,,Health Care and Social Assistance,"Kissimmee, FL",85.0,2016-04-14,2016-04-14,
Mayo Clinic - Albert Lea,SEIU HC MN,HC MN,2015N1203096,6.0,62.0,Health Care and Social Assistance,"Albert Lea, MN",6.0,2017-12-19,2017-12-19,1.0
Viskase,IAMAW Local 2544,,2015N1203475,,,Manufacturing,"Loudon, TN",190.0,2015-10-01,2015-10-11,
Tuftco Corp.,IAMAW Local 0056,,2015N1203685,,,Manufacturing,"Chattanooga, TN",56.0,2015-10-04,2015-10-27,
General Distributors Inc.,IBT Local 162,,2015N1203721,,,Wholesale Trade,"Oregon City, OR",85.0,2015-11-17,2015-12-04,
Defender Inustries Inc,IBT Local 493,,2015N1300068,,,Not Provided,"Waterford, CT",35.0,2015-09-04,2015-09-13,
Minneapolis St Paul Contract Cleaners Association,SEIU Local 26,,2015N1300238,,,Personal Serv & Private Organizations,"Minneapolis, MN",4700.0,2016-02-17,2016-02-18,
AP Green Industries Inc,USW Local 2324-5,,2015N1500036,,,Manufacturing,"Oak Hill, OH",52.0,2015-04-16,2016-03-23,
Eck Industries Inc.,"Glass, Molders, Pottery, Plastics & Allied Workers Local 301",,2015N1500259,,,Manufacturing,"Manitowoc, WI",192.0,2015-05-03,2015-05-08,
Hodge Foundry,"Glass, Molders, Pottery, Plastics & Allied Workers Local 273",,2015N1501336,,,Manufacturing,"Greenville, PA",120.0,2015-11-07,2015-11-24,
"Verizon NJ, Inc. & Verizon Services Corp",IBEW Local 827,,2015N1501350,,,Utilities,"Basking Ridge, NJ",4096.0,2016-04-13,2016-06-01,
First Transit Inc (Copley Park Calif Paratransit Facility),IBT Local 542,,2015N1501661,,,Transportation and Warehousing,"San Diego, CA",291.0,2016-05-25,2016-06-02,
DATTCO BUS,SEIU Local 2001,,201610500017,,,Transportation and Warehousing,", ",102.0,2016-05-17,2016-05-17,
University of Illinois (Springfield),UPI IFT/AFT Local 4100,,201611110062,,,Educational Services,"Springfield, IL",168.0,2017-05-02,2017-05-07,
Rockford School Dist. #205,AFSCME COUNCIL 31 (ROCKFORD) Local ,,201611180059,,,Educational Services,"ROCKFORD, IL",235.0,2017-03-15,2017-03-20,
Rockford School Dist. #205,AFSCME COUNCIL 31 (ROCKFORD) Local ,,201611180060,,,Educational Services,"ROCKFORD, IL",532.0,2017-03-15,2017-03-20,
Independent Pipe & Supply,IBT Local 25,,201611560035,,,Accommodation and Food Services,"Somerville, MA",8.0,2017-08-07,2017-09-29,
"Greenleaf  Services, Inc. & The Davey Tree Expert Company",LIUNA Local 572,,201611750054,,,Personal Serv & Private Organizations,", ",60.0,2016-07-19,2016-10-18,
Minooka Community High School District,IBT Local 179,,201611820041,,,Educational Services,"Channahon, IL",130.0,2016-08-18,2016-08-25,
All New Glass of California,"Glaziers, Architectural Metal & Glassworkers Local 188",,201690090040,,,Construction,"Auburn, WA",659.0,2016-07-01,2016-08-01,
Allina Health Systems,Minnesota Nurses Association Local n/a,,201690160001,,,Health Care and Social Assistance,"Twin Cities, MN",6319.0,2016-06-19,2016-06-25,
Allina Health Systems,Minnesota Nurses Association Local n/a,,201690160001,,,Health Care and Social Assistance,"Twin Cities, MN",6319.0,2016-09-05,2016-10-13,
SMACNA ,SMART 2 Local ,,201690200006,,,Accommodation and Food Services,", ",147.0,2016-07-01,2016-07-06,
Dichello Distributors Inc.,IBT Local 443,,2016N0300334,,,Wholesale Trade,"New Haven, CT",100.0,2016-05-25,2016-08-04,
Certech Inc., WU NY-NJ Regional JT BD  Local 158,,2016N0300488,,,Manufacturing,"Wood-Ridge, NJ",180.0,2016-07-28,2016-07-28,
Certech Inc., WU NY-NJ Regional JT BD  Local 158,,2016N0300488,,,Manufacturing,"Wood-Ridge, NJ",180.0,2016-10-16,2016-10-17,
Windham Pepsi-Cola Bottling Company Inc,IBT Local 493,,2016N0300713,,,Manufacturing,"Dayville, CT",18.0,2016-04-12,2016-04-17,
HARTFORD DISTRIBUTORS INC.,IBT Local 1035,,2016N0301073,,,Transportation and Warehousing,"Manchester, CT",120.0,2016-06-08,2016-08-04,
Whole Life Inc.,SEIU/NEHCEU Local 1199,,2016N0301214,,,Health Care and Social Assistance,"New London, CT",240.0,2016-07-08,2016-07-09,
Quad City Builders Association Inc.,LIUNA Local 309 Great Plains DC,,2016N0301418,,,Construction,"Rock Island, IL",450.0,2016-05-23,2016-05-27,
Hanson Material Services Corp,IUOE Local 965,,2016N0301420,,,Mining and Oil & Gas Extraction,"Athens, IL",14.0,2016-06-27,2016-07-13,
SMACNA Greater Chicago,SMART Local 73,,2016N0301622,,,Construction,"Hillside, IL",1800.0,2016-06-01,2016-06-03,
Hanson Material Service Corporation - Lincoln,IBT Local 916,,2016N0301667,,,Construction,"Lincoln, IL",3.0,2016-06-27,2016-07-13,
Troy Grove Stone Quarry a division of Riverstone Group Inc,IUOE 150,150,2016N0301702,7.0,21.0,Mining and Oil & Gas Extraction,"Moline, IL",7.0,2018-03-20,2018-09-24,189.0
Momentive Performance Materials,IUE-CWA Local ,,2016N0302139,,,Manufacturing,"Waterford, NY",730.0,2016-11-02,2017-02-14,
Momentive Performance Materials,IUE-CWA Local ,,2016N0302141,,,Manufacturing,"Willoughby, OH",60.0,2016-11-02,2016-12-06,
Grant Park Orchestral Association,AFM/CFM  Local 10-208,,2016N0302145,,,"Arts, Entertainment and Recreation","Chicago, IL",83.0,2016-06-14,2016-06-14,
U S Foodservice,IBT Local 355 ,,2016N0302582,,,Transportation and Warehousing,"Severn, MD",103.0,2016-04-27,2016-09-01,
Long Island University - Brooklyn Campus,LIUFF/NYSUT Local 3998,,2016N0302804,,,Educational Services,"Brooklyn, NY",400.0,2016-09-07,2016-09-12,
American Ordnance,IAMAW  Local ,,2016N0302997,,,Manufacturing,"Middletown, IA",300.0,2016-08-16,2016-09-08,
Cross Bronx Car Wash LLC-Webster Car Wash Inc.,RWDSU Local ,,2016N0303888,,,Retail Trade,"Bronx, NY",25.0,2017-04-28,2017-04-30,
Main Street CW Corporation-Jomar Car Wash Corporation,RWDSU Local ,,2016N0303890,,,Retail Trade,"Queens, NY",25.0,2017-05-14,2017-05-14,
Railway & Industrial Services,IBT Local 710,,2016N0304095,,,Transportation and Warehousing,"Crest Hill, IL",74.0,2017-01-17,2017-03-01,
RYDER TRUCK RENTAL,IBT Local 340,,2016N0304153,,,Transportation and Warehousing,"Lewiston, ME",7.0,2016-11-18,2016-12-12,
Hollister-Whitney Elevator Company,IAMAW District 9 Local 822,,2016N0304275,,,Manufacturing,"Quincy, IL",250.0,2016-12-02,2016-12-16,
American Ordnance,IUOE Local 150,,2016N0400100,,,Manufacturing,"Middletown, IA",26.0,2016-08-17,2016-08-29,
Advantage Logistics Colorado South,IBT Local 455,,2016N0400315,,,Transportation and Warehousing,"Fountain, CO",314.0,2016-04-28,2016-05-09,
American Ordnance,IBT Local 238,,2016N0400821,,,Manufacturing,"Middletown, IA",39.0,2016-08-16,2016-09-08,
